Ligand,Ligand UniprotID,Ligand CellType,Receptor,Receptor UniprotID,Receptor CellType,evidence,annotation,interaction_name
NAMPT,P43490,EC_AEA_ Descending Vasa Recta,INSR,P06213,EC_AEA_ Descending Vasa Recta,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,EC_AEA_ Descending Vasa Recta,INSR,P06213,Endothelial Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,EC_AEA_ Descending Vasa Recta,INSR,P06213,Fibroblast Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,EC_AEA_ Descending Vasa Recta,INSR,P06213,Glomerular Capillary,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,EC_AEA_ Descending Vasa Recta,INSR,P06213,Interstitial Cell_A (in cortex),PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,EC_AEA_ Descending Vasa Recta,INSR,P06213,Interstitial Cell_B (in medulla),PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,EC_AEA_ Descending Vasa Recta,INSR,P06213,M2 Mac,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,EC_AEA_ Descending Vasa Recta,INSR,P06213,Macula Densa,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,EC_AEA_ Descending Vasa Recta,INSR,P06213,Monocyte Derived Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,EC_AEA_ Descending Vasa Recta,INSR,P06213,Non-Classical Monocyte,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,EC_AEA_ Descending Vasa Recta,INSR,P06213,Parietal Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,EC_AEA_ Descending Vasa Recta,INSR,P06213,Plasma Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,EC_AEA_ Descending Vasa Recta,INSR,P06213,Podocyte Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,EC_AEA_ Descending Vasa Recta,INSR,P06213,Principal Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,EC_AEA_ Descending Vasa Recta,INSR,P06213,TAL,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,EC_AEA_ Descending Vasa Recta,INSR,P06213,PT,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Fibroblast Cell,INSR,P06213,B-cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Fibroblast Cell,INSR,P06213,EC_AEA_ Descending Vasa Recta,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Fibroblast Cell,INSR,P06213,Endothelial Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Fibroblast Cell,INSR,P06213,Fibroblast Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Fibroblast Cell,INSR,P06213,Glomerular Capillary,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Fibroblast Cell,INSR,P06213,Interstitial Cell_A (in cortex),PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Fibroblast Cell,INSR,P06213,Interstitial Cell_B (in medulla),PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Fibroblast Cell,INSR,P06213,M2 Mac,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Fibroblast Cell,INSR,P06213,Macula Densa,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Fibroblast Cell,INSR,P06213,Monocyte Derived Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Fibroblast Cell,INSR,P06213,Non-Classical Monocyte,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Fibroblast Cell,INSR,P06213,Parietal Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Fibroblast Cell,INSR,P06213,Plasma Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Fibroblast Cell,INSR,P06213,Podocyte Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Fibroblast Cell,INSR,P06213,Principal Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Fibroblast Cell,INSR,P06213,TAL,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Fibroblast Cell,INSR,P06213,PT,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,M2 Mac,INSR,P06213,B-cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,M2 Mac,INSR,P06213,EC_AEA_ Descending Vasa Recta,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,M2 Mac,INSR,P06213,Endothelial Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,M2 Mac,INSR,P06213,Fibroblast Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,M2 Mac,INSR,P06213,Glomerular Capillary,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,M2 Mac,INSR,P06213,Interstitial Cell_A (in cortex),PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,M2 Mac,INSR,P06213,Interstitial Cell_B (in medulla),PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,M2 Mac,INSR,P06213,M2 Mac,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,M2 Mac,INSR,P06213,Macula Densa,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,M2 Mac,INSR,P06213,Monocyte Derived Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,M2 Mac,INSR,P06213,Non-Classical Monocyte,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,M2 Mac,INSR,P06213,Parietal Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,M2 Mac,INSR,P06213,Plasma Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,M2 Mac,INSR,P06213,Podocyte Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,M2 Mac,INSR,P06213,Principal Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,M2 Mac,INSR,P06213,TAL,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,M2 Mac,INSR,P06213,PT,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Monocyte Derived Cell,INSR,P06213,B-cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Monocyte Derived Cell,INSR,P06213,EC_AEA_ Descending Vasa Recta,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Monocyte Derived Cell,INSR,P06213,Endothelial Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Monocyte Derived Cell,INSR,P06213,Fibroblast Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Monocyte Derived Cell,INSR,P06213,Glomerular Capillary,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Monocyte Derived Cell,INSR,P06213,Interstitial Cell_A (in cortex),PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Monocyte Derived Cell,INSR,P06213,Interstitial Cell_B (in medulla),PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Monocyte Derived Cell,INSR,P06213,M2 Mac,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Monocyte Derived Cell,INSR,P06213,Macula Densa,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Monocyte Derived Cell,INSR,P06213,Monocyte Derived Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Monocyte Derived Cell,INSR,P06213,Non-Classical Monocyte,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Monocyte Derived Cell,INSR,P06213,Parietal Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Monocyte Derived Cell,INSR,P06213,Plasma Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Monocyte Derived Cell,INSR,P06213,Podocyte Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Monocyte Derived Cell,INSR,P06213,Principal Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Monocyte Derived Cell,INSR,P06213,TAL,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Monocyte Derived Cell,INSR,P06213,PT,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Non-Classical Monocyte,INSR,P06213,B-cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Non-Classical Monocyte,INSR,P06213,EC_AEA_ Descending Vasa Recta,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Non-Classical Monocyte,INSR,P06213,Endothelial Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Non-Classical Monocyte,INSR,P06213,Fibroblast Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Non-Classical Monocyte,INSR,P06213,Glomerular Capillary,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Non-Classical Monocyte,INSR,P06213,Interstitial Cell_A (in cortex),PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Non-Classical Monocyte,INSR,P06213,Interstitial Cell_B (in medulla),PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Non-Classical Monocyte,INSR,P06213,M2 Mac,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Non-Classical Monocyte,INSR,P06213,Macula Densa,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Non-Classical Monocyte,INSR,P06213,Monocyte Derived Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Non-Classical Monocyte,INSR,P06213,Non-Classical Monocyte,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Non-Classical Monocyte,INSR,P06213,Parietal Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Non-Classical Monocyte,INSR,P06213,Plasma Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Non-Classical Monocyte,INSR,P06213,Podocyte Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Non-Classical Monocyte,INSR,P06213,Principal Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Non-Classical Monocyte,INSR,P06213,TAL,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Non-Classical Monocyte,INSR,P06213,PT,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Parietal Cell,INSR,P06213,B-cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Parietal Cell,INSR,P06213,EC_AEA_ Descending Vasa Recta,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Parietal Cell,INSR,P06213,Endothelial Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Parietal Cell,INSR,P06213,Fibroblast Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Parietal Cell,INSR,P06213,Glomerular Capillary,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Parietal Cell,INSR,P06213,Interstitial Cell_A (in cortex),PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Parietal Cell,INSR,P06213,Interstitial Cell_B (in medulla),PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Parietal Cell,INSR,P06213,M2 Mac,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Parietal Cell,INSR,P06213,Macula Densa,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Parietal Cell,INSR,P06213,Monocyte Derived Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Parietal Cell,INSR,P06213,Non-Classical Monocyte,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Parietal Cell,INSR,P06213,Parietal Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Parietal Cell,INSR,P06213,Plasma Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Parietal Cell,INSR,P06213,Podocyte Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Parietal Cell,INSR,P06213,Principal Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Parietal Cell,INSR,P06213,TAL,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Parietal Cell,INSR,P06213,PT,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Plasma Cell,INSR,P06213,B-cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Plasma Cell,INSR,P06213,EC_AEA_ Descending Vasa Recta,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Plasma Cell,INSR,P06213,Endothelial Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Plasma Cell,INSR,P06213,Fibroblast Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Plasma Cell,INSR,P06213,Glomerular Capillary,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Plasma Cell,INSR,P06213,Interstitial Cell_A (in cortex),PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Plasma Cell,INSR,P06213,Interstitial Cell_B (in medulla),PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Plasma Cell,INSR,P06213,M2 Mac,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Plasma Cell,INSR,P06213,Macula Densa,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Plasma Cell,INSR,P06213,Monocyte Derived Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Plasma Cell,INSR,P06213,Non-Classical Monocyte,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Plasma Cell,INSR,P06213,Parietal Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Plasma Cell,INSR,P06213,Plasma Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Plasma Cell,INSR,P06213,Podocyte Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Plasma Cell,INSR,P06213,Principal Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Plasma Cell,INSR,P06213,TAL,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Plasma Cell,INSR,P06213,PT,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Principal Cell,INSR,P06213,B-cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Principal Cell,INSR,P06213,EC_AEA_ Descending Vasa Recta,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Principal Cell,INSR,P06213,Endothelial Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Principal Cell,INSR,P06213,Fibroblast Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Principal Cell,INSR,P06213,Glomerular Capillary,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Principal Cell,INSR,P06213,Interstitial Cell_A (in cortex),PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Principal Cell,INSR,P06213,Interstitial Cell_B (in medulla),PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Principal Cell,INSR,P06213,M2 Mac,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Principal Cell,INSR,P06213,Macula Densa,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Principal Cell,INSR,P06213,Monocyte Derived Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Principal Cell,INSR,P06213,Non-Classical Monocyte,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Principal Cell,INSR,P06213,Parietal Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Principal Cell,INSR,P06213,Plasma Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Principal Cell,INSR,P06213,Podocyte Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Principal Cell,INSR,P06213,Principal Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Principal Cell,INSR,P06213,TAL,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,Principal Cell,INSR,P06213,PT,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,VSM/Pericyte/ MesengialCell,INSR,P06213,B-cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,VSM/Pericyte/ MesengialCell,INSR,P06213,EC_AEA_ Descending Vasa Recta,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,VSM/Pericyte/ MesengialCell,INSR,P06213,Endothelial Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,VSM/Pericyte/ MesengialCell,INSR,P06213,Fibroblast Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,VSM/Pericyte/ MesengialCell,INSR,P06213,Glomerular Capillary,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,VSM/Pericyte/ MesengialCell,INSR,P06213,Interstitial Cell_A (in cortex),PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,VSM/Pericyte/ MesengialCell,INSR,P06213,Interstitial Cell_B (in medulla),PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,VSM/Pericyte/ MesengialCell,INSR,P06213,M2 Mac,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,VSM/Pericyte/ MesengialCell,INSR,P06213,Macula Densa,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,VSM/Pericyte/ MesengialCell,INSR,P06213,Monocyte Derived Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,VSM/Pericyte/ MesengialCell,INSR,P06213,Non-Classical Monocyte,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,VSM/Pericyte/ MesengialCell,INSR,P06213,Parietal Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,VSM/Pericyte/ MesengialCell,INSR,P06213,Plasma Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,VSM/Pericyte/ MesengialCell,INSR,P06213,Podocyte Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,VSM/Pericyte/ MesengialCell,INSR,P06213,Principal Cell,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,VSM/Pericyte/ MesengialCell,INSR,P06213,TAL,PMID: 28490838,Secreted Signaling,NAMPT_INSR
NAMPT,P43490,VSM/Pericyte/ MesengialCell,INSR,P06213,PT,PMID: 28490838,Secreted Signaling,NAMPT_INSR
CDH1,P12830,DCT,CDH1,P12830,DCT,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,DCT,CDH1,P12830,Connecting Tubule,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,DCT,CDH1,P12830,Endothelial Cell,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,DCT,CDH1,P12830,Interstitial Cell_A (in cortex),KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,DCT,CDH1,P12830,Interstitial Cell_B (in medulla),KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,DCT,CDH1,P12830,Macula Densa,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,DCT,CDH1,P12830,Parietal Cell,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,DCT,CDH1,P12830,Principal Cell,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,DCT,CDH1,P12830,PT,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Connecting Tubule,CDH1,P12830,DCT,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Connecting Tubule,CDH1,P12830,Connecting Tubule,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Connecting Tubule,CDH1,P12830,Endothelial Cell,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Connecting Tubule,CDH1,P12830,Interstitial Cell_A (in cortex),KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Connecting Tubule,CDH1,P12830,Interstitial Cell_B (in medulla),KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Connecting Tubule,CDH1,P12830,Macula Densa,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Connecting Tubule,CDH1,P12830,Parietal Cell,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Connecting Tubule,CDH1,P12830,Principal Cell,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Connecting Tubule,CDH1,P12830,PT,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Endothelial Cell,CDH1,P12830,DCT,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Endothelial Cell,CDH1,P12830,Connecting Tubule,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Endothelial Cell,CDH1,P12830,Endothelial Cell,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Endothelial Cell,CDH1,P12830,Interstitial Cell_A (in cortex),KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Endothelial Cell,CDH1,P12830,Interstitial Cell_B (in medulla),KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Endothelial Cell,CDH1,P12830,Macula Densa,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Endothelial Cell,CDH1,P12830,Parietal Cell,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Endothelial Cell,CDH1,P12830,Principal Cell,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Endothelial Cell,CDH1,P12830,PT,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Interstitial Cell_A (in cortex),CDH1,P12830,DCT,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Interstitial Cell_A (in cortex),CDH1,P12830,Connecting Tubule,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Interstitial Cell_A (in cortex),CDH1,P12830,Endothelial Cell,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Interstitial Cell_A (in cortex),CDH1,P12830,Interstitial Cell_A (in cortex),KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Interstitial Cell_A (in cortex),CDH1,P12830,Interstitial Cell_B (in medulla),KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Interstitial Cell_A (in cortex),CDH1,P12830,Macula Densa,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Interstitial Cell_A (in cortex),CDH1,P12830,Parietal Cell,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Interstitial Cell_A (in cortex),CDH1,P12830,Principal Cell,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Interstitial Cell_A (in cortex),CDH1,P12830,PT,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Interstitial Cell_B (in medulla),CDH1,P12830,DCT,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Interstitial Cell_B (in medulla),CDH1,P12830,Connecting Tubule,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Interstitial Cell_B (in medulla),CDH1,P12830,Endothelial Cell,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Interstitial Cell_B (in medulla),CDH1,P12830,Interstitial Cell_A (in cortex),KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Interstitial Cell_B (in medulla),CDH1,P12830,Interstitial Cell_B (in medulla),KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Interstitial Cell_B (in medulla),CDH1,P12830,Macula Densa,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Interstitial Cell_B (in medulla),CDH1,P12830,Parietal Cell,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Interstitial Cell_B (in medulla),CDH1,P12830,Principal Cell,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Interstitial Cell_B (in medulla),CDH1,P12830,PT,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Macula Densa,CDH1,P12830,DCT,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Macula Densa,CDH1,P12830,Connecting Tubule,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Macula Densa,CDH1,P12830,Endothelial Cell,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Macula Densa,CDH1,P12830,Interstitial Cell_A (in cortex),KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Macula Densa,CDH1,P12830,Interstitial Cell_B (in medulla),KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Macula Densa,CDH1,P12830,Macula Densa,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Macula Densa,CDH1,P12830,Parietal Cell,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Macula Densa,CDH1,P12830,Principal Cell,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Macula Densa,CDH1,P12830,PT,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
CDH1,P12830,Parietal Cell,CDH1,P12830,DCT,KEGG: hsa04514,Cell-Cell Contact,CDH1_CDH1
